pl_name,ra,dec,pl_orbper,pl_rade,pl_tranmid,pl_trandur,sy_vmag
55 Cnc e,133.1468373,28.3298154,0.73654000000,2.00000000,2455607.05562000,1.5792000,5.9508400
55 Cnc e,133.1468373,28.3298154,0.73654170000,,2455962.06970000,1.5840000,5.9508400
55 Cnc e,133.1468373,28.3298154,0.73654625026,2.02311213,2458870.69282800,1.5732208,5.9508400
55 Cnc e,133.1468373,28.3298154,0.73654625000,,2459370.80754300,,5.9508400
55 Cnc e,133.1468373,28.3298154,0.73654740000,1.87500000,2457063.20960000,,5.9508400
55 Cnc e,133.1468373,28.3298154,0.73654600000,,2455500.25460000,,5.9508400
55 Cnc e,133.1468373,28.3298154,0.73654700000,,2455201.95250000,,5.9508400
55 Cnc e,133.1468373,28.3298154,0.73654450000,,2456340.65500000,,5.9508400
55 Cnc e,133.1468373,28.3298154,,1.92000000,2455733.00800000,,5.9508400
55 Cnc e,133.1468373,28.3298154,0.73654600000,2.17300000,,,5.9508400
55 Cnc e,133.1468373,28.3298154,2.79674000000,,,,5.9508400
55 Cnc e,133.1468373,28.3298154,2.80800000000,,,,5.9508400
55 Cnc e,133.1468373,28.3298154,0.73654780000,,,,5.9508400
55 Cnc e,133.1468373,28.3298154,0.73653900000,1.91000000,2455733.01300000,,5.9508400
55 Cnc e,133.1468373,28.3298154,0.73654604000,,2458723.38328000,,5.9508400
55 Cnc e,133.1468373,28.3298154,0.73654300000,1.85600000,2459511.48798700,1.5439000,5.9508400
55 Cnc e,133.1468373,28.3298154,,,,,5.9508400
55 Cnc e,133.1468373,28.3298154,0.73654370000,2.08000000,2455568.02650000,1.5960000,5.9508400
55 Cnc e,133.1468373,28.3298154,0.73654740000,1.94700000,,,5.9508400
55 Cnc e,133.1468373,28.3298154,0.73700000000,1.89700000,,,5.9508400
55 Cnc e,133.1468373,28.3298154,0.73655150000,,,,5.9508400
AU Mic b,311.2911369,-31.3424500,8.46299910000,,2458330.39046000,,8.8100000
AU Mic b,311.2911369,-31.3424500,8.46321000000,,2458651.99275000,,8.8100000
AU Mic b,311.2911369,-31.3424500,8.45367765822,4.02692583,2459041.28174600,3.5738006,8.8100000
AU Mic b,311.2911369,-31.3424500,8.46314270000,,2458330.38416000,,8.8100000
AU Mic b,311.2911369,-31.3424500,8.46300040000,4.19000000,2458330.39080000,3.5600000,8.8100000
AU Mic b,311.2911369,-31.3424500,8.46321000000,,,,8.8100000
AU Mic b,311.2911369,-31.3424500,8.46344600000,4.79000000,2458330.35087800,3.2400000,8.8100000
